;Antofagasta;Chillán;Concepción;Coquimbo;Los Ángeles;Puerto Montt;Valparaíso;Rancagua;Santiago;Curicó;Temuco;Chiloé (Castro);La Serena;Curanilahue;Talca
Antofagasta;0,0;1735,748;1831,008;876,575;1846,744;2364,167;1294,587;1419,82;1335,619;1525,853;2010,423;2531,378;864,574;1924,989;1588,267
Chillán;1736,953;0,0;98,15;862,863;113,886;631,309;510,145;318,359;405,812;213,526;277,565;798,52;873,006;192,131;151,254
Concepción;1832,8;98,464;0,0;958,71;128,642;646,065;605,992;414,206;501,66;309,373;292,321;813,276;968,853;93,505;247,101
Coquimbo;878,012;862,74;958,0;0,0;973,736;1491,16;421,579;546,812;462,611;652,845;1137,415;1658,37;14,065;1051,982;715,259
Los Ángeles;1847,731;113,394;128,364;973,641;0,0;518,15;620,922;429,137;516,59;324,303;164,406;685,361;983,784;181,362;262,031
Puerto Montt;2365,555;631,218;646,188;1491,465;518,033;0,0;1138,746;946,961;1034,414;842,127;353,702;174,362;1501,608;604,952;779,855
Valparaíso;1296,583;509,581;604,841;422,493;620,578;1138,001;0,0;193,654;115,558;299,687;784,257;1305,212;432,636;698,823;362,1
Rancagua;1419,841;319,654;414,914;545,751;430,65;948,073;193,032;0,0;88,7;109,759;594,329;1115,284;555,894;508,895;172,173
Santiago;1336,285;404,474;499,734;462,195;515,47;1032,894;120,544;88,547;0,0;194,579;679,15;1200,105;472,338;593,716;256,993
Curicó;1527,885;213,706;308,966;653,795;324,702;842,126;301,076;109,29;196,744;0,0;488,382;1009,337;663,937;402,948;66,225
Temuco;2011,961;277,624;292,593;1137,871;164,439;352,991;785,152;593,367;680,82;488,533;0,0;520,202;1148,014;251,358;426,261
Chiloé (Castro);2532,052;797,715;812,684;1657,962;684,529;173,149;1305,243;1113,457;1200,911;1008,624;520,198;0,0;1668,104;771,448;946,352
La Serena;865,635;872,634;967,894;13,462;983,63;1501,053;431,473;556,706;472,505;662,739;1147,309;1668,264;0,0;1061,876;725,153
Curanilahue;1926,938;192,601;93,984;1052,848;182,266;605,628;700,129;508,344;595,797;403,51;251,884;772,839;1062,991;0,0;341,238
Talca;1588,839;151,778;247,039;714,749;262,775;780,198;362,031;170,245;257,698;65,411;426,454;947,409;724,892;341,02;0,0
